ticker;as_of_date;price;market_cap;shares_outstanding;currency;cash;total_debt;enterprise_value;net_debt;ev_ebitda;ev_ebit;pe;ev_sales;p_fcf;gross_margin;operating_margin;net_margin;fcf_margin;net_debt_ebitda;roic_approx;name;index
AAPL;28/09/2025;2.554.600.067.138.670;3.791.126.129.036.400;14840390000;USD;36269000000.0;101698000000.0;;65429000000.0;;;3.818.620.194.436.340;;;0.4667825022942796;0.31866381156316914;0.24296115019883757;;0.4617561540198735;0.7837105265162769;Apple Inc.;NASDAQ
ABNB;28/09/2025;12.369.999.694.824.200;7.656.086.573.879.460;618923748;USD;7402000000.0;;;;;;2.916.604.409.096.930;;;0.8322970639032815;0.22495682210708118;0.2266839378238342;;;;Airbnb, Inc.;NASDAQ
ADBE;28/09/2025;3.603.699.951.171.870;1.508.508.799.560.540;418600000;USD;4982000000.0;;;;;;2.168.332.326.520.830;;;0.8913765583883353;0.36245200811009015;0.300116474699107;;;;Adobe Inc.;NASDAQ
ADI;28/09/2025;24.755.999.755.859.300;12.178.848.653.509.600;491955436;USD;2321191000.0;8688603000.0;16.224.174.053.509.600;6367412000.0;3.468.507.036.566.160;6.170.022.944.720.500;6.221.074.709.762.840;15.620.000.253.696.800;;0.6015126899106028;0.25315951648222573;0.18847738883842416;;13.612.658.033.546.000;0.0513510641195885;Analog Devices, Inc.;NASDAQ
ADP;28/09/2025;2.915.400.085.449.210;11.809.980.095.609.800;405089516;USD;3347800000.0;8744200000.0;12.968.420.095.609.800;5396400000.0;20.427.855.988.295.900;23.962.785.889.631.700;2.894.815.818.714.560;630.732.122.407.571;;0.46027168071436564;0.2632131861932114;0.19842030261321245;;0.8500409552013106;0.3690653810296606;Automatic Data Processing, Inc.;NASDAQ
ADSK;28/09/2025;3.228.800.048.828.120;6.949.303.079.172.110;215228660;USD;2003000000.0;;;;;;6.662.802.568.717.270;;;0.9061317183951552;0.22937168811506434;0.1579106737320212;;;;Autodesk, Inc.;NASDAQ
AEP;28/09/2025;10.913.999.938.964.800;5.836.750.010.740.710;534794763;USD;227300000.0;46027100000.0;;45799800000.0;;;15.992.410.364.525.000;;;0.6249231856077652;0.24824476089554695;0.17659810226112538;;508.762.302.548.266;0.05356109151602532;American Electric Power Company, Inc.;NASDAQ
ALGN;28/09/2025;12.619.000.244.140.600;9.147.054.954.888.670;72486368;USD;901157000.0;123020000.0;12.281.696.954.888.600;-778137000.0;15.479.576.153.766.900;1.925.734.156.030.120;20.902.394.277.272.500;30.976.822.940.688.200;;0.6978759595056702;0.16085721304620004;0.1103732292306148;;-0.9807464712577182;0.1607315699847064;Align Technology, Inc.;NASDAQ
AMAT;28/09/2025;2.039.199.981.689.450;16.245.132.225.514.400;796642427;USD;5384000000.0;6263000000.0;;879000000.0;;;23.778.003.842.966.000;;;0.4850242896585468;0.3013665117254395;0.23877258588753364;;0.09161976235146967;0.3342084089682579;Applied Materials, Inc.;NASDAQ
AMD;28/09/2025;1.594.600.067.138.670;258.778.665.543.497;1622843689;USD;4442000000.0;;;;;;9.131.216.144.795.230;;;0.47621621621621624;0.08287162162162162;0.09574324324324324;;;;Advanced Micro Devices, Inc.;NASDAQ
AMGN;28/09/2025;2.729.800.109.863.280;14.696.202.400.059.900;538361851;USD;8028000000.0;56204000000.0;;48176000000.0;;;222.030.554.465.327;;;0.6448434859810408;0.23461351204284445;0.1895638227797348;;3.032.798.237.330.810;0.11638874901086253;Amgen Inc.;NASDAQ
